year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Rheinland-Pfalz,Bremen,108,86,194,17,15,32,125,101,226
2000,Rheinland-Pfalz,Nordrhein-Westfalen,6532,6819,13351,1175,946,2121,7707,7765,15472
2000,Rheinland-Pfalz,Hessen,4973,5089,10062,1318,998,2316,6291,6087,12378
2000,Rheinland-Pfalz,Rheinland-Pfalz,0,0,0,0,0,0,0,0,0
2000,Rheinland-Pfalz,Baden-Wuerttemberg,5351,5229,10580,1275,973,2248,6626,6202,12828
2000,Rheinland-Pfalz,Bayern,2424,2387,4811,542,359,901,2966,2746,5712
2000,Rheinland-Pfalz,Saarland,1583,1571,3154,164,154,318,1747,1725,3472
2000,Rheinland-Pfalz,Berlin,773,691,1464,121,111,232,894,802,1696
2000,Rheinland-Pfalz,Brandenburg,321,294,615,20,13,33,341,307,648
2000,Rheinland-Pfalz,Mecklenburg-Vorpommern,164,146,310,9,6,15,173,152,325
2000,Rheinland-Pfalz,Sachsen,522,412,934,54,19,73,576,431,1007
2000,Rheinland-Pfalz,Sachsen-Anhalt,270,244,514,41,28,69,311,272,583
2000,Rheinland-Pfalz,Thueringen,330,290,620,56,25,81,386,315,701
2000,Rheinland-Pfalz,Insgesamt,25362,25326,50688,5045,3880,8925,30407,29206,59613
2000,Baden-Wuerttemberg,Schleswig-Holstein,1154,1203,2357,117,107,224,1271,1310,2581
2000,Baden-Wuerttemberg,Hamburg,1190,1149,2339,138,128,266,1328,1277,2605
2000,Baden-Wuerttemberg,Niedersachsen,2960,2922,5882,447,325,772,3407,3247,6654
2000,Baden-Wuerttemberg,Bremen,264,292,556,57,42,99,321,334,655
2000,Baden-Wuerttemberg,Nordrhein-Westfalen,6391,6509,12900,1816,1320,3136,8207,7829,16036
2000,Baden-Wuerttemberg,Hessen,5995,5931,11926,1774,1153,2927,7769,7084,14853
2000,Baden-Wuerttemberg,Rheinland-Pfalz,5316,5364,10680,1339,998,2337,6655,6362,13017
2000,Baden-Wuerttemberg,Baden-Wuerttemberg,0,0,0,0,0,0,0,0,0
2000,Baden-Wuerttemberg,Bayern,13956,13972,27928,2950,2028,4978,16906,16000,32906
2000,Baden-Wuerttemberg,Saarland,736,677,1413,135,128,263,871,805,1676
2000,Baden-Wuerttemberg,Berlin,2752,2277,5029,446,344,790,3198,2621,5819
2000,Baden-Wuerttemberg,Brandenburg,1053,1040,2093,131,83,214,1184,1123,2307
2000,Baden-Wuerttemberg,Mecklenburg-Vorpommern,590,596,1186,34,22,56,624,618,1242
2000,Baden-Wuerttemberg,Sachsen,2388,2085,4473,251,176,427,2639,2261,4900
2000,Baden-Wuerttemberg,Sachsen-Anhalt,738,725,1463,101,39,140,839,764,1603
2000,Baden-Wuerttemberg,Thueringen,968,904,1872,92,57,149,1060,961,2021
2000,Baden-Wuerttemberg,Insgesamt,46451,45646,92097,9828,6950,16778,56279,52596,108875
2000,Bayern,Schleswig-Holstein,1144,1180,2324,154,121,275,1298,1301,2599
2000,Bayern,Hamburg,1067,1024,2091,246,154,400,1313,1178,2491
2000,Bayern,Niedersachsen,2700,2703,5403,478,285,763,3178,2988,6166
